PLAYER_ID,PARTNER_ID,PIMS,PPS_ON,PPS_OFF,N_CNT_SHOT,MIN_GROUP,PLAYER_NAME,PARTNER_NAME
1630224,1630231,1.04767363162832,0.99,0.96,517,OFF,Jalen Green,Kenyon Martin Jr.
1630224,1629645,1.67832411543399,0.98,0.95,211,OFF,Jalen Green,Kevin Porter Jr.
1630224,1630256,-1.29330663110298,0.93,0.97,244,ON,Jalen Green,Jae'Sean Tate
1631095,1630578,1.29135140836396,0.92,0.99,224,OFF,Jabari Smith Jr.,Alperen Sengun
1631095,1630231,1.18684496162038,0.97,0.94,425,OFF,Jabari Smith Jr.,Kenyon Martin Jr.
1629645,201569,1.69647943069072,1.13,0.96,214,OFF,Kevin Porter Jr.,Eric Gordon
1629645,1630578,1.10408549525638,1.1,1.02,297,OFF,Kevin Porter Jr.,Alperen Sengun
1629645,1631095,1.56526316396027,1.06,1.03,229,OFF,Kevin Porter Jr.,Jabari Smith Jr.
1629645,1631106,1.84201946682853,1.03,1.05,303,ON,Kevin Porter Jr.,Tari Eason
1629645,1630586,1.0100961325563,0.98,1.075,207,ON,Kevin Porter Jr.,Usman Garuba
1629645,1630231,1.41507077553665,1.01,1.09,412,OFF,Kevin Porter Jr.,Kenyon Martin Jr.
201569,1630231,-1.42764784310493,1.09,1.03,224,OFF,Eric Gordon,Kenyon Martin Jr.
1630578,1631106,1.19859622439213,1.19,1.11,218,ON,Alperen Sengun,Tari Eason
1630578,1630231,-1.11679127923653,1.16,1.09,358,OFF,Alperen Sengun,Kenyon Martin Jr.
1630231,1630578,2.07914133136005,1.29,1.18,256,OFF,Kenyon Martin Jr.,Alperen Sengun
1630231,1631095,2.74301886295086,1.23,1.24,296,OFF,Kenyon Martin Jr.,Jabari Smith Jr.
1630231,1631106,2.09831392305153,1.2,1.26,287,ON,Kenyon Martin Jr.,Tari Eason
1630231,1630227,1.44645815457764,1.29,1.25,203,ON,Kenyon Martin Jr.,Daishen Nix
1631106,1630224,-1.25947382558995,1.02,0.97,274,ON,Tari Eason,Jalen Green
1631106,1630578,-1.03582160815297,0.99,1.02,220,ON,Tari Eason,Alperen Sengun
1631106,1630586,1.11743201887964,0.93,1.05,262,ON,Tari Eason,Usman Garuba
1631106,1630231,1.52034958761948,0.96,1.03,292,OFF,Tari Eason,Kenyon Martin Jr.
1631106,1630227,1.1506452113637,1.04,0.94,227,OFF,Tari Eason,Daishen Nix
1631106,1629645,1.01337714192014,0.91,1.04,211,ON,Tari Eason,Kevin Porter Jr.
1630188,1629614,-1.09200363083736,1.09,1.06,219,OFF,Jalen Smith,Andrew Nembhard
1630188,1631097,1.87264080408543,1.075,1.07,211,OFF,Jalen Smith,Bennedict Mathurin
1630169,1630174,1.11939506799633,1.15,1.12,291,OFF,Tyrese Haliburton,Aaron Nesmith
1630169,1629614,-1.19494978760381,1.1,1.34,285,OFF,Tyrese Haliburton,Andrew Nembhard
1630169,1630188,1.34736271366554,1.16,1.2,281,ON,Tyrese Haliburton,Jalen Smith
1630169,1631097,-1.15206392505789,1.24,1.12,382,ON,Tyrese Haliburton,Bennedict Mathurin
1627741,1630174,-1.51313709665735,1.22,1.15,440,OFF,Buddy Hield,Aaron Nesmith
1627741,1629614,-1.46506237701354,1.18,1.27,371,OFF,Buddy Hield,Andrew Nembhard
1627741,204456,1.68555480939739,1.21,1.19,268,ON,Buddy Hield,T.J. McConnell
1627741,1630188,1.53170540257082,1.05,1.265,354,ON,Buddy Hield,Jalen Smith
